"Year","Country","Cancer_Site","Sex","Incidences","ASR"
2008,"Wales","Pancreatic","Men",NA,15.9
2009,"Wales","Pancreatic","Men",NA,18.7
2010,"Wales","Pancreatic","Men",NA,19.8
2011,"Wales","Pancreatic","Men",NA,19.8
2012,"Wales","Pancreatic","Men",NA,18.2
2013,"Wales","Pancreatic","Men",NA,19.1
2014,"Wales","Pancreatic","Men",NA,19.8
2015,"Wales","Pancreatic","Men",NA,17.2
2016,"Wales","Pancreatic","Men",NA,17.7
2017,"Wales","Pancreatic","Men",NA,16.4
2018,"Wales","Pancreatic","Men",NA,19.1
2019,"Wales","Pancreatic","Men",NA,18.7
2020,"Wales","Pancreatic","Men",NA,18.1
2002,"Wales","Pancreatic","Women",NA,14.2
2003,"Wales","Pancreatic","Women",NA,15.3
2004,"Wales","Pancreatic","Women",NA,14.4
2005,"Wales","Pancreatic","Women",NA,14.1
2006,"Wales","Pancreatic","Women",NA,14.6
2007,"Wales","Pancreatic","Women",NA,15
2008,"Wales","Pancreatic","Women",NA,15.1
2009,"Wales","Pancreatic","Women",NA,14.9
2010,"Wales","Pancreatic","Women",NA,16.3
2011,"Wales","Pancreatic","Women",NA,16.2
2012,"Wales","Pancreatic","Women",NA,14.8
2013,"Wales","Pancreatic","Women",NA,15.4
2014,"Wales","Pancreatic","Women",NA,13.9
2015,"Wales","Pancreatic","Women",NA,16.6
2016,"Wales","Pancreatic","Women",NA,14.4
2017,"Wales","Pancreatic","Women",NA,14.6
2018,"Wales","Pancreatic","Women",NA,15.3
2019,"Wales","Pancreatic","Women",NA,15.8
2020,"Wales","Pancreatic","Women",NA,13.7
1995,"England","Prostate","Men",19411,128.3
1996,"England","Prostate","Men",19860,128.8
1997,"England","Prostate","Men",19914,127.5
1998,"England","Prostate","Men",20455,128.5
1999,"England","Prostate","Men",22418,138.3
2000,"England","Prostate","Men",24783,149.2
2001,"England","Prostate","Men",28213,166
2002,"England","Prostate","Men",28526,164.9
2003,"England","Prostate","Men",28835,164.1
2004,"England","Prostate","Men",31318,173.8
2005,"England","Prostate","Men",30522,166.3
2006,"England","Prostate","Men",32207,173.2
2007,"England","Prostate","Men",32463,170.7
2008,"England","Prostate","Men",33124,170.5
2009,"England","Prostate","Men",36461,183.2
2010,"England","Prostate","Men",36674,180.6
2011,"England","Prostate","Men",37066,178.6
2012,"England","Prostate","Men",38759,182.9
2013,"England","Prostate","Men",42377,195.9
2014,"England","Prostate","Men",41101,184.5
2015,"England","Prostate","Men",41779,183.4
2016,"England","Prostate","Men",41787,179.7
2017,"England","Prostate","Men",42139,177.4
2018,"England","Prostate","Men",50409,207.3
2019,"England","Prostate","Men",47928,193.6
2020,"England","Prostate","Men",36016,143.8
1993,"Nothern Ireland","Prostate","Men",469,117.3
1994,"Nothern Ireland","Prostate","Men",484,117.3
1995,"Nothern Ireland","Prostate","Men",507,128.9
1996,"Nothern Ireland","Prostate","Men",461,107.5
1997,"Nothern Ireland","Prostate","Men",491,120.1
1998,"Nothern Ireland","Prostate","Men",501,116.9
1999,"Nothern Ireland","Prostate","Men",501,110.6
2000,"Nothern Ireland","Prostate","Men",594,127.1
2001,"Nothern Ireland","Prostate","Men",583,125.5
2002,"Nothern Ireland","Prostate","Men",682,140.6
2003,"Nothern Ireland","Prostate","Men",789,158.2
2004,"Nothern Ireland","Prostate","Men",841,162.1
2005,"Nothern Ireland","Prostate","Men",839,159.5
2006,"Nothern Ireland","Prostate","Men",884,160
2007,"Nothern Ireland","Prostate","Men",977,170.7
2008,"Nothern Ireland","Prostate","Men",1033,178.7
2009,"Nothern Ireland","Prostate","Men",1125,188.2
2010,"Nothern Ireland","Prostate","Men",973,162.5
2011,"Nothern Ireland","Prostate","Men",1083,173.9
2012,"Nothern Ireland","Prostate","Men",1108,171.9
2013,"Nothern Ireland","Prostate","Men",1041,158
2014,"Nothern Ireland","Prostate","Men",1161,171.3
2015,"Nothern Ireland","Prostate","Men",1151,166.2
2016,"Nothern Ireland","Prostate","Men",1206,172.1
2017,"Nothern Ireland","Prostate","Men",1174,160.1
2018,"Nothern Ireland","Prostate","Men",1309,176.6
2019,"Nothern Ireland","Prostate","Men",1396,182.3
2020,"Nothern Ireland","Prostate","Men",1259,162.5
2021,"Nothern Ireland","Prostate","Men",1414,175.5
1997,"Scotland","Prostate","Men",1983,130.995836917393
1998,"Scotland","Prostate","Men",2002,127.103241997322
1999,"Scotland","Prostate","Men",2055,128.996187219479
2000,"Scotland","Prostate","Men",2129,131.484491368045
2001,"Scotland","Prostate","Men",2268,136.591624229035
2002,"Scotland","Prostate","Men",2522,146.730859804288
2003,"Scotland","Prostate","Men",2582,148.606510779714
2004,"Scotland","Prostate","Men",2768,155.476107598219
2005,"Scotland","Prostate","Men",2616,141.861825113839
2006,"Scotland","Prostate","Men",2786,150.210322216065
2007,"Scotland","Prostate","Men",2785,146.527507044342
2008,"Scotland","Prostate","Men",2989,153.326726906322
2009,"Scotland","Prostate","Men",3110,154.971872843279
2010,"Scotland","Prostate","Men",2995,145.831158568144
2011,"Scotland","Prostate","Men",3275,156.451427409623
2012,"Scotland","Prostate","Men",3176,148.510578203232
2013,"Scotland","Prostate","Men",3495,158.038017422672
2014,"Scotland","Prostate","Men",3500,155.660202226546
2015,"Scotland","Prostate","Men",3424,149.699952312723
2016,"Scotland","Prostate","Men",3549,152.277549510937
2017,"Scotland","Prostate","Men",3693,155.210378002596
2018,"Scotland","Prostate","Men",4374,179.865224619819
2019,"Scotland","Prostate","Men",3883,156.256809406185
2020,"Scotland","Prostate","Men",3449,136.964197017291
2021,"Scotland","Prostate","Men",4265,166.208465871095
2002,"Wales","Prostate","Men",NA,176.7
2003,"Wales","Prostate","Men",NA,187.4
2004,"Wales","Prostate","Men",NA,203.6
2005,"Wales","Prostate","Men",NA,193.9
2006,"Wales","Prostate","Men",NA,191.5
2007,"Wales","Prostate","Men",NA,207.2
2008,"Wales","Prostate","Men",NA,201.7
2009,"Wales","Prostate","Men",NA,192
2010,"Wales","Prostate","Men",NA,194.3
2011,"Wales","Prostate","Men",NA,178.5
2012,"Wales","Prostate","Men",NA,180.5
2013,"Wales","Prostate","Men",NA,192.6
2014,"Wales","Prostate","Men",NA,183.8
2015,"Wales","Prostate","Men",NA,182.1
2016,"Wales","Prostate","Men",NA,193.7
2017,"Wales","Prostate","Men",NA,185.5
2018,"Wales","Prostate","Men",NA,211.2
2019,"Wales","Prostate","Men",NA,193.2
2020,"Wales","Prostate","Men",NA,142.7
