Cancer Site,Year,Tumour Type,Tumour Type 2,Tumour Type 3,Tumour Type 4,Tumour Type 5,Tumour Type 6,Tumour Type 7,Basis of Diagnosis,Stage,Stage Detail,Stage Detail 2,Stage Detail 3,Age,Age Detail,Region,Gender,Grade,Nodal Status,Deprivation,Performance Status,Incidence,Population,Incidence Rate,Incidence Rate LCI,Incidence Rate UCI,Routes Population,Screening,Screening percentage,Screening percentage LCI,Screening percentage UCI,Two Week Wait,Two Week Wait percentage,Two Week Wait percentage LCI,Two Week Wait percentage UCI,GP Referral,GP Referral percentage,GP Referral percentage LCI,GP Referral percentage UCI,Other Outpatient,Other Outpatient percentage,Other Outpatient percentage LCI,Other Outpatient percentage UCI,Inpatient Elective,Inpatient Elective percentage,Inpatient Elective percentage LCI,Inpatient Elective percentage UCI,Emergency Presentation,Emergency Presentation percentage,Emergency Presentation percentage LCI,Emergency Presentation percentage UCI,DCO,DCO percentage,DCO percentage LCI,DCO percentage UCI,Unknown Route,Unknown Route percentage,Unknown Route percentage LCI,Unknown Route percentage UCI,Route not classified,Route not classified percentage,Route not classified percentage LCI,Route not classified percentage UCI,Treatment cohort,CT count,CT percentage,CT percentage LCI,CT percentage UCI,RT count,RT percentage,RT percentage LCI,RT percentage UCI,Surgery count,Surgery percentage,Surgery percentage LCI,Surgery percentage UCI,CT only count,CT only percentage,CT only percentage LCI,CT only percentage UCI,RT only count,RT only percentage,RT only percentage LCI,RT only percentage UCI,Surgery only count,Surgery only percentage,Surgery only percentage LCI,Surgery only percentage UCI,CT and RT count,CT and RT percentage,CT and RT percentage LCI,CT and RT percentage UCI,Surgery and CT count,Surgery and CT percentage,Surgery and CT percentage LCI,Surgery and CT percentage UCI,Surgery and RT count,Surgery and RT percentage,Surgery and RT percentage LCI,Surgery and RT percentage UCI,Surgery and CT and RT count,Surgery and CT and RT percentage,Surgery and CT and RT percentage LCI,Surgery and CT and RT percentage UCI,Other care count,Other care percentage,Other care percentage LCI,Other care percentage UCI,Initial cohort size,Survival cohort size,Net survival 03m,Net survival 03m LCI,Net survival 03m UCI,Kaplan-Meier survival 03m,Kaplan-Meier survival 03m LCI,Kaplan-Meier survival 03m UCI,Net survival 06m,Net survival 06m LCI,Net survival 06m UCI,Kaplan-Meier survival 06m,Kaplan-Meier survival 06m LCI,Kaplan-Meier survival 06m UCI,Net survival 09m,Net survival 09m LCI,Net survival 09m UCI,Kaplan-Meier survival 09m,Kaplan-Meier survival 09m LCI,Kaplan-Meier survival 09m UCI,Net survival 12m,Net survival 12m LCI,Net survival 12m UCI,Kaplan-Meier survival 12m,Kaplan-Meier survival 12m LCI,Kaplan-Meier survival 12m UCI,Net survival 24m,Net survival 24m LCI,Net survival 24m UCI,Kaplan-Meier survival 24m,Kaplan-Meier survival 24m LCI,Kaplan-Meier survival 24m UCI,Net survival 36m,Net survival 36m LCI,Net survival 36m UCI,Kaplan-Meier survival 36m,Kaplan-Meier survival 36m LCI,Kaplan-Meier survival 36m UCI,Net survival 48m,Net survival 48m LCI,Net survival 48m UCI,Kaplan-Meier survival 48m,Kaplan-Meier survival 48m LCI,Kaplan-Meier survival 48m UCI,Net survival 60m,Net survival 60m LCI,Net survival 60m UCI,Kaplan-Meier survival 60m,Kaplan-Meier survival 60m LCI,Kaplan-Meier survival 60m UCI,Net survival 72m,Net survival 72m LCI,Net survival 72m UCI,Kaplan-Meier survival 72m,Kaplan-Meier survival 72m LCI,Kaplan-Meier survival 72m UCI,Net survival 84m,Net survival 84m LCI,Net survival 84m UCI,Kaplan-Meier survival 84m,Kaplan-Meier survival 84m LCI,Kaplan-Meier survival 84m UCI,Net survival 96m,Net survival 96m LCI,Net survival 96m UCI,Kaplan-Meier survival 96m,Kaplan-Meier survival 96m LCI,Kaplan-Meier survival 96m UCI
Oesophageal and stomach,2018-2020,Oesophagus,Overlapping lesion and unspecified,All,All,All,All,All,Not split by Basis of Diagnosis,All stages,Not split by Stage Detail,Not split by Stage Detail 2,Not split by Stage Detail 3,All ages,All ages,All England,Persons,Not split by grade,Not split by nodal status,All,Not split by Performance Status,3647,168814277,2.16,2.091,2.232,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,3647,1024,28.078,26.643,29.559,753,20.647,19.365,21.991,291,7.979,7.143,8.903,442,12.12,11.1,13.219,311,8.528,7.664,9.478,90,2.468,2.012,3.024,384,10.529,9.574,11.567,143,3.921,3.338,4.601,3,0.082,0.028,0.242,55,1.508,1.16,1.958,2219,60.845,59.25,62.416,3647,3372,64.7,63.1,66.4,64.1,62.4,65.7,52,50.3,53.8,51.1,49.4,52.7,42.3,40.6,44,41.2,39.6,42.9,35.7,34.1,37.4,34.6,33,36.2,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Oesophageal and stomach,2018-2020,Oesophagus,Overlapping lesion and unspecified,Adenocarcinoma,All,All,All,All,Not split by Basis of Diagnosis,All stages,Not split by Stage Detail,Not split by Stage Detail 2,Not split by Stage Detail 3,All ages,All ages,All England,Persons,Not split by grade,Not split by nodal status,All,Not split by Performance Status,1768,168814277,1.047,0.999,1.097,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,1768,635,35.916,33.713,38.181,361,20.419,18.605,22.361,233,13.179,11.682,14.836,310,17.534,15.832,19.376,165,9.333,8.063,10.778,69,3.903,3.095,4.91,163,9.219,7.958,10.658,131,7.41,6.279,8.725,2,0.113,0.031,0.412,31,1.753,1.238,2.478,897,50.735,48.406,53.062,1768,1753,76.5,74.4,78.5,75.7,73.6,77.7,63.2,60.9,65.5,62,59.7,64.3,53.2,50.7,55.6,51.8,49.5,54.1,45.7,43.3,48.1,44.3,41.9,46.6,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Oesophageal and stomach,2018-2020,Oesophagus,Overlapping lesion and unspecified,Adenocarcinoma,All,All,All,All,Not split by Basis of Diagnosis,Stage 1-3,Not split by Stage Detail,Not split by Stage Detail 2,Not split by Stage Detail 3,All ages,All ages,All England,Persons,Not split by grade,Not split by nodal status,All,Not split by Performance Status,573,168814277,0.339,0.312,0.368,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,573,237,41.361,37.399,45.438,157,27.4,23.907,31.193,172,30.017,26.408,33.893,45,7.853,5.921,10.347,66,11.518,9.157,14.392,47,8.202,6.224,10.737,68,11.867,9.47,14.773,102,17.801,14.887,21.144,1,0.175,0.031,0.982,22,3.839,2.549,5.745,222,38.743,34.842,42.795,573,571,95.3,93.4,97.2,94.4,92.2,96,88.3,85.4,91.1,86.7,83.6,89.2,80.9,77.5,84.4,78.9,75.4,82.1,74.6,70.8,78.5,72.3,68.4,75.8,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Oesophageal and stomach,2018-2020,Oesophagus,Overlapping lesion and unspecified,Adenocarcinoma,All,All,All,All,Not split by Basis of Diagnosis,Stage 1-3,Not split by Stage Detail,Not split by Stage Detail 2,Not split by Stage Detail 3,Age 00-69,Age 00-69,All England,Persons,Not split by grade,Not split by nodal status,All,Not split by Performance Status,223,146220922,0.153,0.133,0.174,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,223,122,54.709,48.151,61.107,52,23.318,18.249,29.292,108,48.43,41.954,54.961,20,8.969,5.881,13.446,12,5.381,3.105,9.169,28,12.556,8.832,17.549,23,10.314,6.971,15,63,28.251,22.749,34.49,1,0.448,0.079,2.496,16,7.175,4.464,11.336,60,26.906,21.513,33.081,223,223,98.3,96.5,100,98.2,95.3,99.3,95.9,93.2,98.7,95.5,91.8,97.6,91.6,87.9,95.4,91,86.4,94.1,86.4,81.8,91.1,85.6,80.2,89.6,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Oesophageal and stomach,2018-2020,Oesophagus,Overlapping lesion and unspecified,Adenocarcinoma,All,All,All,All,Not split by Basis of Diagnosis,Stage 1-3,Not split by Stage Detail,Not split by Stage Detail 2,Not split by Stage Detail 3,Age 70+,Age 70+,All England,Persons,Not split by grade,Not split by nodal status,All,Not split by Performance Status,350,22593355,1.549,1.391,1.72,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,350,115,32.857,28.146,37.941,105,30,25.437,34.997,64,18.286,14.588,22.672,25,7.143,4.885,10.332,54,15.429,12.021,19.586,19,5.429,3.503,8.322,45,12.857,9.75,16.771,39,11.143,8.259,14.87,0,0,0,1.086,6,1.714,0.788,3.689,162,46.286,41.131,51.522,350,348,93.3,90.4,96.2,92,88.6,94.4,83.4,79.1,87.6,81,76.5,84.8,74.1,69.1,79.1,71.3,66.2,75.7,67,61.6,72.4,63.8,58.5,68.6,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Oesophageal and stomach,2018-2020,Oesophagus,Overlapping lesion and unspecified,Adenocarcinoma,All,All,All,All,Not split by Basis of Diagnosis,Stage 4,Not split by Stage Detail,Not split by Stage Detail 2,Not split by Stage Detail 3,All ages,All ages,All England,Persons,Not split by grade,Not split by nodal status,All,Not split by Performance Status,765,168814277,0.453,0.422,0.486,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,765,346,45.229,41.734,48.771,157,20.523,17.812,23.529,38,4.967,3.64,6.744,232,30.327,27.174,33.676,66,8.627,6.839,10.83,6,0.784,0.36,1.7,83,10.85,8.838,13.252,24,3.137,2.117,4.626,1,0.131,0.023,0.737,7,0.915,0.444,1.877,346,45.229,41.734,48.771,765,761,65.2,61.8,68.6,64.8,61.3,68.1,46.5,42.9,50.1,46,42.4,49.5,34.8,31.4,38.3,34.3,30.9,37.7,25.9,22.7,29,25.4,22.3,28.5,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Oesophageal and stomach,2018-2020,Oesophagus,Overlapping lesion and unspecified,Adenocarcinoma,All,All,All,All,Not split by Basis of Diagnosis,Stage 4,Not split by Stage Detail,Not split by Stage Detail 2,Not split by Stage Detail 3,Age 00-69,Age 00-69,All England,Persons,Not split by grade,Not split by nodal status,All,Not split by Performance Status,362,146220922,0.248,0.223,0.274,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,362,205,56.63,51.481,61.639,74,20.442,16.608,24.896,23,6.354,4.271,9.353,143,39.503,34.602,44.624,25,6.906,4.721,9.996,3,0.829,0.282,2.408,43,11.878,8.939,15.618,14,3.867,2.317,6.386,1,0.276,0.049,1.548,5,1.381,0.591,3.192,128,35.359,30.611,40.414,362,359,71.2,66.5,75.9,71,66,75.4,52.9,47.7,58,52.6,47.4,57.7,40.6,35.5,45.7,40.4,35.3,45.4,30.3,25.6,35.1,30.1,25.4,34.9,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Oesophageal and stomach,2018-2020,Oesophagus,Overlapping lesion and unspecified,Adenocarcinoma,All,All,All,All,Not split by Basis of Diagnosis,Stage 4,Not split by Stage Detail,Not split by Stage Detail 2,Not split by Stage Detail 3,Age 70+,Age 70+,All England,Persons,Not split by grade,Not split by nodal status,All,Not split by Performance Status,403,22593355,1.784,1.614,1.967,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,403,141,34.988,30.493,39.766,83,20.596,16.934,24.813,15,3.722,2.268,6.05,89,22.084,18.309,26.387,41,10.174,7.588,13.511,3,0.744,0.253,2.166,40,9.926,7.374,13.234,10,2.481,1.353,4.507,0,0,0,0.944,2,0.496,0.136,1.791,218,54.094,49.213,58.898,403,402,59.9,55.1,64.8,59.2,54.2,63.8,40.8,36,45.7,40,35.2,44.8,29.7,25.1,34.2,28.9,24.5,33.3,21.9,17.8,26.1,21.1,17.3,25.3,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Oesophageal and stomach,2018-2020,Oesophagus,Overlapping lesion and unspecified,Adenocarcinoma,All,All,All,All,Not split by Basis of Diagnosis,Stage unknown,Not split by Stage Detail,Not split by Stage Detail 2,Not split by Stage Detail 3,All ages,All ages,All England,Persons,Not split by grade,Not split by nodal status,All,Not split by Performance Status,430,168814277,0.255,0.231,0.28,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,430,52,12.093,9.342,15.515,47,10.93,8.32,14.233,23,5.349,3.59,7.898,33,7.674,5.517,10.582,33,7.674,5.517,10.582,16,3.721,2.303,5.958,12,2.791,1.603,4.814,5,1.163,0.498,2.693,0,0,0,0.885,2,0.465,0.128,1.68,329,76.512,72.281,80.273,430,421,71.3,66.8,75.7,70.2,65.6,74.3,59.3,54.4,64.2,57.6,52.7,62.2,48.6,43.6,53.6,46.7,41.9,51.4,42.3,37.3,47.3,40.4,35.7,45.1,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Oesophageal and stomach,2018-2020,Oesophagus,Overlapping lesion and unspecified,Squamous cell carcinoma,All,All,All,All,Not split by Basis of Diagnosis,All stages,Not split by Stage Detail,Not split by Stage Detail 2,Not split by Stage Detail 3,All ages,All ages,All England,Persons,Not split by grade,Not split by nodal status,All,Not split by Performance Status,796,168814277,0.472,0.439,0.505,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,796,300,37.688,34.389,41.107,320,40.201,36.85,43.646,47,5.905,4.469,7.763,89,11.181,9.175,13.559,115,14.447,12.176,17.06,16,2.01,1.241,3.24,181,22.739,19.962,25.777,7,0.879,0.427,1.804,1,0.126,0.022,0.708,23,2.889,1.933,4.298,364,45.729,42.297,49.202,796,787,73,69.8,76.1,72.4,69.1,75.3,56.8,53.3,60.3,55.9,52.4,59.3,44.4,40.9,48,43.6,40.1,47,35.6,32.1,39,34.7,31.3,38,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Oesophageal and stomach,2018-2020,Oesophagus,Overlapping lesion and unspecified,Squamous cell carcinoma,All,All,All,All,Not split by Basis of Diagnosis,Stage 1-3,Not split by Stage Detail,Not split by Stage Detail 2,Not split by Stage Detail 3,All ages,All ages,All England,Persons,Not split by grade,Not split by nodal status,All,Not split by Performance Status,290,168814277,0.172,0.153,0.193,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,290,135,46.552,40.893,52.3,155,53.448,47.7,59.107,40,13.793,10.295,18.237,17,5.862,3.692,9.186,41,14.138,10.596,18.618,14,4.828,2.897,7.939,93,32.069,26.962,37.645,5,1.724,0.739,3.972,1,0.345,0.061,1.927,20,6.897,4.508,10.412,99,34.138,28.92,39.771,290,288,87.6,83.6,91.5,86.8,82.3,90.2,77.6,72.6,82.6,76.4,71,80.9,60.9,55.1,66.7,59.7,53.8,65.1,55.2,49.2,61.1,53.8,47.9,59.4,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Oesophageal and stomach,2018-2020,Oesophagus,Overlapping lesion and unspecified,Squamous cell carcinoma,All,All,All,All,Not split by Basis of Diagnosis,Stage 1-3,Not split by Stage Detail,Not split by Stage Detail 2,Not split by Stage Detail 3,Age 00-69,Age 00-69,All England,Persons,Not split by grade,Not split by nodal status,All,Not split by Performance Status,109,146220922,0.075,0.061,0.09,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,109,66,60.55,51.166,69.216,62,56.881,47.506,65.787,27,24.771,17.619,33.641,7,6.422,3.145,12.666,6,5.505,2.547,11.492,9,8.257,4.405,14.951,42,38.532,29.935,47.91,4,3.67,1.436,9.058,1,0.917,0.162,5.015,13,11.927,7.104,19.342,27,24.771,17.619,33.641,109,109,94.7,90.4,99,94.5,88.2,97.5,86.6,80.1,93,86.2,78.2,91.5,72.9,64.6,81.3,72.5,63.1,79.9,68.4,59.7,77.2,67.9,58.2,75.8,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Oesophageal and stomach,2018-2020,Oesophagus,Overlapping lesion and unspecified,Squamous cell carcinoma,All,All,All,All,Not split by Basis of Diagnosis,Stage 1-3,Not split by Stage Detail,Not split by Stage Detail 2,Not split by Stage Detail 3,Age 70+,Age 70+,All England,Persons,Not split by grade,Not split by nodal status,All,Not split by Performance Status,181,22593355,0.801,0.689,0.927,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,181,69,38.122,31.362,45.374,93,51.381,44.147,58.558,13,7.182,4.245,11.899,10,5.525,3.028,9.87,35,19.337,14.245,25.703,5,2.762,1.186,6.303,51,28.177,22.129,35.131,1,0.552,0.098,3.063,0,0,0,2.078,7,3.867,1.886,7.767,72,39.779,32.932,47.05,181,179,83.2,77.5,88.9,82.1,75.7,87,72.2,65.3,79,70.4,63.1,76.5,53.6,46,61.2,52,44.4,59,47.1,39.4,54.7,45.3,37.8,52.4,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Oesophageal and stomach,2018-2020,Oesophagus,Overlapping lesion and unspecified,Squamous cell carcinoma,All,All,All,All,Not split by Basis of Diagnosis,Stage 4,Not split by Stage Detail,Not split by Stage Detail 2,Not split by Stage Detail 3,All ages,All ages,All England,Persons,Not split by grade,Not split by nodal status,All,Not split by Performance Status,292,168814277,0.173,0.154,0.194,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,292,125,42.808,37.263,48.541,105,35.959,30.67,41.613,4,1.37,0.534,3.469,58,19.863,15.691,24.817,39,13.356,9.926,17.737,0,0,0,1.298,63,21.575,17.243,26.646,1,0.342,0.06,1.914,0,0,0,1.298,3,1.027,0.35,2.977,128,43.836,38.261,49.57,292,292,67.2,61.8,72.7,66.8,61.1,71.9,46,40.3,51.8,45.5,39.8,51.1,33.4,27.9,38.9,32.9,27.6,38.3,22.4,17.5,27.2,21.9,17.4,26.8,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Oesophageal and stomach,2018-2020,Oesophagus,Overlapping lesion and unspecified,Squamous cell carcinoma,All,All,All,All,Not split by Basis of Diagnosis,Stage unknown,Not split by Stage Detail,Not split by Stage Detail 2,Not split by Stage Detail 3,All ages,All ages,All England,Persons,Not split by grade,Not split by nodal status,All,Not split by Performance Status,214,168814277,0.127,0.11,0.145,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,214,40,18.692,14.037,24.45,60,28.037,22.447,34.402,3,1.402,0.478,4.04,14,6.542,3.937,10.68,35,16.355,12.001,21.896,2,0.935,0.257,3.343,25,11.682,8.039,16.677,1,0.467,0.083,2.599,0,0,0,1.763,0,0,0,1.763,137,64.019,57.393,70.15,214,207,60.8,54,67.5,60.1,53,66.4,42.9,36,49.7,42,35.2,48.6,37.1,30.3,43.8,36.1,29.6,42.7,26.8,20.6,33,25.9,20.1,32,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Oesophageal and stomach,2018-2020,Oesophagus,Overlapping lesion and unspecified,Other,All,All,All,All,Not split by Basis of Diagnosis,All stages,Not split by Stage Detail,Not split by Stage Detail 2,Not split by Stage Detail 3,All ages,All ages,All England,Persons,Not split by grade,Not split by nodal status,All,Not split by Performance Status,1083,168814277,0.642,0.604,0.681,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,1083,89,8.218,6.726,10.005,72,6.648,5.312,8.29,11,1.016,0.568,1.81,43,3.97,2.961,5.305,31,2.862,2.024,4.034,5,0.462,0.197,1.076,40,3.693,2.724,4.99,5,0.462,0.197,1.076,0,0,0,0.353,1,0.092,0.016,0.521,958,88.458,86.418,90.227,1083,832,32.2,29,35.4,31.7,28.5,34.9,24.1,21.1,27,23.4,20.6,26.3,17.4,14.8,20.1,16.7,14.3,19.4,14.9,12.4,17.3,14.1,11.8,16.5,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Oesophageal and stomach,2018-2020,Oesophagus,Overlapping lesion and unspecified,Other,All,All,All,All,Not split by Basis of Diagnosis,All stages,Not split by Stage Detail,Not split by Stage Detail 2,Not split by Stage Detail 3,Age 00-69,Age 00-69,All England,Persons,Not split by grade,Not split by nodal status,All,Not split by Performance Status,244,146220922,0.167,0.147,0.189,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,244,53,21.721,17.007,27.312,33,13.525,9.795,18.385,7,2.869,1.396,5.802,25,10.246,7.037,14.687,8,3.279,1.671,6.335,4,1.639,0.639,4.139,25,10.246,7.037,14.687,3,1.23,0.419,3.552,0,0,0,1.55,0,0,0,1.55,179,73.361,67.483,78.514,244,221,42.1,35.7,48.5,42,35.4,48.4,32.1,26,38.2,31.9,25.9,38.1,25.7,20,31.4,25.6,20,31.5,22.9,17.4,28.5,22.8,17.5,28.5,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Oesophageal and stomach,2018-2020,Oesophagus,Overlapping lesion and unspecified,Other,All,All,All,All,Not split by Basis of Diagnosis,All stages,Not split by Stage Detail,Not split by Stage Detail 2,Not split by Stage Detail 3,Age 70+,Age 70+,All England,Persons,Not split by grade,Not split by nodal status,All,Not split by Performance Status,839,22593355,3.713,3.466,3.973,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,839,36,4.291,3.115,5.883,39,4.648,3.419,6.291,4,0.477,0.186,1.219,18,2.145,1.361,3.366,23,2.741,1.834,4.08,1,0.119,0.021,0.672,15,1.788,1.086,2.929,2,0.238,0.065,0.865,0,0,0,0.456,1,0.119,0.021,0.672,779,92.849,90.903,94.404,839,611,28.7,25.1,32.3,28,24.5,31.6,21.2,17.9,24.5,20.3,17.2,23.6,14.5,11.6,17.4,13.6,11,16.4,12,9.3,14.6,11,8.6,13.6,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
