"Year","Geographylevel","Indicator","Categories","Sex","Percent","Mean","LowerCI","UpperCI","Unweightedbases"
"2012","Scotland","Smoking status","Never smoked/Used to smoke occasionally","Female",55,NA,53,57.9,2677
"2012","Scotland","Smoking status","Used to smoke regularly","Female",21,NA,19.1,22.6,2677
"2012","Scotland","Smoking status","Current smoker","Female",24,NA,21.6,25.8,2677
"2012","Scotland","Smoking status","Never smoked/Used to smoke occasionally","Male",52,NA,49,54.9,2119
"2012","Scotland","Smoking status","Used to smoke regularly","Male",23,NA,20.6,24.6,2119
"2012","Scotland","Smoking status","Current smoker","Male",25,NA,22.8,28.1,2119
"2013","Scotland","Smoking status","Never smoked/Used to smoke occasionally","All",54,NA,52.3,56.4,4877
"2013","Scotland","Smoking status","Used to smoke regularly","All",24,NA,22.8,25.6,4877
"2013","Scotland","Smoking status","Current smoker","All",21,NA,19.9,23.1,4877
"2013","Scotland","Smoking status","Never smoked/Used to smoke occasionally","Female",57,NA,54.8,59.3,2746
"2013","Scotland","Smoking status","Used to smoke regularly","Female",23,NA,21.4,24.9,2746
"2013","Scotland","Smoking status","Current smoker","Female",20,NA,17.9,21.7,2746
"2013","Scotland","Smoking status","Never smoked/Used to smoke occasionally","Male",51,NA,48.5,54.1,2131
"2013","Scotland","Smoking status","Used to smoke regularly","Male",25,NA,23.3,27.4,2131
"2013","Scotland","Smoking status","Current smoker","Male",23,NA,21.1,25.5,2131
"2014","Scotland","Smoking status","Never smoked/Used to smoke occasionally","All",55,NA,53,57,4642
"2014","Scotland","Smoking status","Used to smoke regularly","All",23,NA,21.6,24.7,4642
"2014","Scotland","Smoking status","Current smoker","All",22,NA,20.1,23.6,4642
"2014","Scotland","Smoking status","Never smoked/Used to smoke occasionally","Female",56,NA,53.5,58.5,2585
"2014","Scotland","Smoking status","Used to smoke regularly","Female",23,NA,21,24.9,2585
"2014","Scotland","Smoking status","Current smoker","Female",21,NA,19,23.1,2585
"2014","Scotland","Smoking status","Never smoked/Used to smoke occasionally","Male",54,NA,51.2,56.6,2057
"2014","Scotland","Smoking status","Used to smoke regularly","Male",23,NA,21.2,25.7,2057
"2014","Scotland","Smoking status","Current smoker","Male",23,NA,20.3,25,2057
"2015","Scotland","Smoking status","Never smoked/Used to smoke occasionally","All",54,NA,52.1,56.3,4968
"2015","Scotland","Smoking status","Used to smoke regularly","All",25,NA,23.3,26.4,4968
"2015","Scotland","Smoking status","Current smoker","All",21,NA,19.3,22.6,4968
"2015","Scotland","Smoking status","Never smoked/Used to smoke occasionally","Female",57,NA,54.4,59.2,2740
"2015","Scotland","Smoking status","Used to smoke regularly","Female",23,NA,21.4,25.2,2740
"2015","Scotland","Smoking status","Current smoker","Female",20,NA,18.1,21.9,2740
"2015","Scotland","Smoking status","Never smoked/Used to smoke occasionally","Male",51,NA,48.6,54.2,2228
"2015","Scotland","Smoking status","Used to smoke regularly","Male",27,NA,24.3,28.8,2228
"2015","Scotland","Smoking status","Current smoker","Male",22,NA,19.7,24.3,2228
"2016","Scotland","Smoking status","Never smoked/Used to smoke occasionally","All",55,NA,52.9,56.9,4298
"2016","Scotland","Smoking status","Used to smoke regularly","All",24,NA,22.3,25.7,4298
"2016","Scotland","Smoking status","Current smoker","All",21,NA,19.4,22.8,4298
"2016","Scotland","Smoking status","Never smoked/Used to smoke occasionally","Female",58,NA,55.1,60,2416
"2016","Scotland","Smoking status","Used to smoke regularly","Female",23,NA,20.7,24.7,2416
"2016","Scotland","Smoking status","Current smoker","Female",20,NA,17.7,21.7,2416
"2016","Scotland","Smoking status","Never smoked/Used to smoke occasionally","Male",52,NA,49.2,54.8,1882
"2016","Scotland","Smoking status","Used to smoke regularly","Male",25,NA,23.2,27.6,1882
"2016","Scotland","Smoking status","Current smoker","Male",23,NA,20.2,25,1882
"2017","Scotland","Smoking status","Never smoked/Used to smoke occasionally","All",56,NA,53.5,58.3,3672
"2017","Scotland","Smoking status","Used to smoke regularly","All",26,NA,24,27.8,3672
"2017","Scotland","Smoking status","Current smoker","All",18,NA,16.5,19.9,3672
"2017","Scotland","Smoking status","Never smoked/Used to smoke occasionally","Female",60,NA,57.1,62.5,2083
"2017","Scotland","Smoking status","Used to smoke regularly","Female",24,NA,22.1,26.3,2083
"2017","Scotland","Smoking status","Current smoker","Female",16,NA,14.1,18,2083
"2017","Scotland","Smoking status","Never smoked/Used to smoke occasionally","Male",52,NA,48.5,55.2,1589
"2017","Scotland","Smoking status","Used to smoke regularly","Male",28,NA,24.9,30.5,1589
"2017","Scotland","Smoking status","Current smoker","Male",20,NA,18,22.9,1589
"2018","Scotland","Smoking status","Never smoked/Used to smoke occasionally","All",59,NA,57.5,61.4,4783
"2018","Scotland","Smoking status","Used to smoke regularly","All",22,NA,20.4,23.3,4783
"2018","Scotland","Smoking status","Current smoker","All",19,NA,17,20.5,4783
"2018","Scotland","Smoking status","Never smoked/Used to smoke occasionally","Female",62,NA,59.4,64,2720
"2018","Scotland","Smoking status","Used to smoke regularly","Female",22,NA,19.8,23.2,2720
"2018","Scotland","Smoking status","Current smoker","Female",17,NA,15.2,18.5,2720
"2018","Scotland","Smoking status","Never smoked/Used to smoke occasionally","Male",57,NA,54.4,59.8,2063
"2018","Scotland","Smoking status","Used to smoke regularly","Male",22,NA,20.1,24.2,2063
"2018","Scotland","Smoking status","Current smoker","Male",21,NA,18.1,23.4,2063
"2019","Scotland","Smoking status","Never smoked/Used to smoke occasionally","All",59,NA,57.6,61.4,4872
"2019","Scotland","Smoking status","Used to smoke regularly","All",23,NA,21.6,24.6,4872
"2019","Scotland","Smoking status","Current smoker","All",17,NA,15.8,19,4872
"2019","Scotland","Smoking status","Never smoked/Used to smoke occasionally","Female",61,NA,59,63.4,2734
"2019","Scotland","Smoking status","Used to smoke regularly","Female",23,NA,20.9,24.3,2734
"2019","Scotland","Smoking status","Current smoker","Female",16,NA,14.4,18,2734
"2019","Scotland","Smoking status","Never smoked/Used to smoke occasionally","Male",58,NA,55.1,60.3,2138
"2019","Scotland","Smoking status","Used to smoke regularly","Male",24,NA,21.4,25.7,2138
"2019","Scotland","Smoking status","Current smoker","Male",19,NA,16.5,21,2138
"2021","Scotland","Smoking status","Never smoked/Used to smoke occasionally","All",66,NA,63.5,67.7,4526
"2021","Scotland","Smoking status","Used to smoke regularly","All",23,NA,21.5,24.8,4526
"2021","Scotland","Smoking status","Current smoker","All",11,NA,9.9,12.7,4526
"2021","Scotland","Smoking status","Never smoked/Used to smoke occasionally","Female",67,NA,64.1,69.2,2606
"2021","Scotland","Smoking status","Used to smoke regularly","Female",23,NA,20.6,24.5,2606
"2021","Scotland","Smoking status","Current smoker","Female",11,NA,8.9,12.7,2606
"2021","Scotland","Smoking status","Never smoked/Used to smoke occasionally","Male",64,NA,61.6,67.3,1920
"2021","Scotland","Smoking status","Used to smoke regularly","Male",24,NA,21.6,26,1920
"2021","Scotland","Smoking status","Current smoker","Male",12,NA,10,13.5,1920
"2022","Scotland","Smoking status","Never smoked/Used to smoke occasionally","All",63,NA,60.6,64.7,4358
"2022","Scotland","Smoking status","Used to smoke regularly","All",22,NA,20.6,23.8,4358
"2022","Scotland","Smoking status","Current smoker","All",15,NA,13.6,16.7,4358
"2022","Scotland","Smoking status","Never smoked/Used to smoke occasionally","Female",66,NA,63.3,68,2340
"2022","Scotland","Smoking status","Used to smoke regularly","Female",22,NA,20,23.7,2340
"2022","Scotland","Smoking status","Current smoker","Female",13,NA,10.8,14.2,2340
"2022","Scotland","Smoking status","Never smoked/Used to smoke occasionally","Male",59,NA,56.8,62.1,1977
"2022","Scotland","Smoking status","Used to smoke regularly","Male",23,NA,20.4,25,1977
"2022","Scotland","Smoking status","Current smoker","Male",18,NA,15.7,20,1977
