"age_group"	"sex"	"level"	"year"	"value"	"Model"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
50+	Women	Previously	2010	0.30	0.29	NA	0.1538	0	0
50+	Women	Previously	2011	0.31	0.29	NA	0.1538	0	0
50+	Women	Previously	2012	0.28	0.29	NA	0.1538	0	0
50+	Women	Previously	2013	0.30	0.29	NA	0.1538	0	0
50+	Women	Previously	2014	0.28	0.29	NA	0.1538	0	0
50+	Women	Previously	2015	0.31	0.29	NA	0.1538	0	0
50+	Women	Previously	2016	0.29	0.29	NA	0.1538	0	0
50+	Women	Previously	2017	0.29	0.29	NA	0.1538	0	0
50+	Women	Previously	2018	0.30	0.29	NA	0.1538	0	0
50+	Women	Previously	2019	0.28	0.30	NA	0.1538	0	0
20-49	Men	Underweight	1997	0.01	0.01	NA	2.4247*	0	0
20-49	Men	Underweight	1998	0.01	0.01	NA	2.4247*	0	0
20-49	Men	Underweight	1999	0.01	0.01	NA	2.4247*	0	0
20-49	Men	Underweight	2000	0.01	0.01	NA	2.4247*	0	0
20-49	Men	Underweight	2001	0.01	0.01	NA	2.4247*	0	0
20-49	Men	Underweight	2002	0.01	0.01	NA	2.4247*	0	0
20-49	Men	Underweight	2003	0.01	0.01	NA	2.4247*	0	0
20-49	Men	Underweight	2004	0.01	0.01	NA	2.4247*	0	0
20-49	Men	Underweight	2005	0.01	0.01	NA	2.4247*	0	0
20-49	Men	Underweight	2006	0.01	0.01	NA	2.4247*	0	0
20-49	Men	Underweight	2007	0.01	0.01	NA	2.4247*	0	0
20-49	Men	Underweight	2008	0.01	0.01	NA	2.4247*	0	0
20-49	Men	Underweight	2009	0.02	0.01	NA	2.4247*	0	0
20-49	Men	Underweight	2010	0.01	0.01	NA	2.4247*	0	0
20-49	Men	Underweight	2011	0.01	0.01	NA	2.4247*	0	0
20-49	Men	Underweight	2012	0.01	0.01	NA	2.4247*	0	0
20-49	Men	Underweight	2013	0.01	0.01	NA	2.4247*	0	0
20-49	Men	Underweight	2014	0.02	0.01	NA	2.4247*	0	0
20-49	Men	Underweight	2015	0.02	0.01	NA	2.4247*	0	0
20-49	Men	Underweight	2016	0.02	0.01	NA	2.4247*	0	0
20-49	Men	Underweight	2017	0.01	0.01	NA	2.4247*	0	0
20-49	Men	Underweight	2018	0.01	0.01	NA	2.4247*	0	0
20-49	Men	Underweight	2019	0.01	0.01	NA	2.4247*	0	0
50+	Men	Underweight	1997	0.00	0.00	NA	-1.8455	0	0
50+	Men	Underweight	1998	0.01	0.00	NA	-1.8455	0	0
50+	Men	Underweight	1999	0.01	0.00	NA	-1.8455	0	0
50+	Men	Underweight	2000	0.01	0.00	NA	-1.8455	0	0
50+	Men	Underweight	2001	0.01	0.00	NA	-1.8455	0	0
50+	Men	Underweight	2002	0.00	0.00	NA	-1.8455	0	0
50+	Men	Underweight	2003	0.00	0.00	NA	-1.8455	0	0
50+	Men	Underweight	2004	0.00	0.00	NA	-1.8455	0	0
50+	Men	Underweight	2005	0.00	0.00	NA	-1.8455	0	0
50+	Men	Underweight	2006	0.00	0.00	NA	-1.8455	0	0
50+	Men	Underweight	2007	0.00	0.00	NA	-1.8455	0	0
50+	Men	Underweight	2008	0.00	0.00	NA	-1.8455	0	0
50+	Men	Underweight	2009	0.00	0.00	NA	-1.8455	0	0
50+	Men	Underweight	2010	0.00	0.00	NA	-1.8455	0	0
50+	Men	Underweight	2011	0.00	0.00	NA	-1.8455	0	0
50+	Men	Underweight	2012	0.00	0.00	NA	-1.8455	0	0
50+	Men	Underweight	2013	0.00	0.00	NA	-1.8455	0	0
50+	Men	Underweight	2014	0.01	0.00	NA	-1.8455	0	0
50+	Men	Underweight	2015	0.00	0.00	NA	-1.8455	0	0
50+	Men	Underweight	2016	0.00	0.00	NA	-1.8455	0	0
50+	Men	Underweight	2017	0.01	0.00	NA	-1.8455	0	0
50+	Men	Underweight	2018	0.00	0.00	NA	-1.8455	0	0
50+	Men	Underweight	2019	0.00	0.00	NA	-1.8455	0	0
20-49	Women	Underweight	1997	0.02	0.02	NA	1.2065*	0	0
20-49	Women	Underweight	1998	0.02	0.02	NA	1.2065*	0	0
20-49	Women	Underweight	1999	0.02	0.02	NA	1.2065*	0	0
20-49	Women	Underweight	2000	0.02	0.02	NA	1.2065*	0	0
20-49	Women	Underweight	2001	0.02	0.02	NA	1.2065*	0	0
20-49	Women	Underweight	2002	0.02	0.02	NA	1.2065*	0	0
20-49	Women	Underweight	2003	0.02	0.02	NA	1.2065*	0	0
20-49	Women	Underweight	2004	0.02	0.02	NA	1.2065*	0	0
20-49	Women	Underweight	2005	0.02	0.02	NA	1.2065*	0	0
20-49	Women	Underweight	2006	0.02	0.02	NA	1.2065*	0	0
20-49	Women	Underweight	2007	0.02	0.02	NA	1.2065*	0	0
20-49	Women	Underweight	2008	0.02	0.02	NA	1.2065*	0	0
20-49	Women	Underweight	2009	0.02	0.02	NA	1.2065*	0	0
20-49	Women	Underweight	2010	0.02	0.02	NA	1.2065*	0	0
20-49	Women	Underweight	2011	0.02	0.02	NA	1.2065*	0	0
20-49	Women	Underweight	2012	0.02	0.02	NA	1.2065*	0	0
20-49	Women	Underweight	2013	0.02	0.02	NA	1.2065*	0	0
20-49	Women	Underweight	2014	0.01	0.02	NA	1.2065*	0	0
20-49	Women	Underweight	2015	0.03	0.02	NA	1.2065*	0	0
20-49	Women	Underweight	2016	0.03	0.02	NA	1.2065*	0	0
20-49	Women	Underweight	2017	0.02	0.02	NA	1.2065*	0	0
20-49	Women	Underweight	2018	0.02	0.02	NA	1.2065*	0	0
20-49	Women	Underweight	2019	0.02	0.02	NA	1.2065*	0	0
50+	Women	Underweight	1997	0.02	0.01	NA	-1.4682	0	0
50+	Women	Underweight	1998	0.02	0.01	NA	-1.4682	0	0
50+	Women	Underweight	1999	0.01	0.01	NA	-1.4682	0	0
50+	Women	Underweight	2000	0.01	0.01	NA	-1.4682	0	0
50+	Women	Underweight	2001	0.01	0.01	NA	-1.4682	0	0
50+	Women	Underweight	2002	0.01	0.01	NA	-1.4682	0	0
50+	Women	Underweight	2003	0.01	0.01	NA	-1.4682	0	0
50+	Women	Underweight	2004	0.01	0.01	NA	-1.4682	0	0
50+	Women	Underweight	2005	0.01	0.01	NA	-1.4682	0	0
50+	Women	Underweight	2006	0.01	0.01	NA	-1.4682	0	0
50+	Women	Underweight	2007	0.01	0.01	NA	-1.4682	0	0
50+	Women	Underweight	2008	0.01	0.01	NA	-1.4682	0	0
50+	Women	Underweight	2009	0.01	0.01	NA	-1.4682	0	0
50+	Women	Underweight	2010	0.01	0.01	NA	-1.4682	0	0
50+	Women	Underweight	2011	0.02	0.01	NA	-1.4682	0	0
50+	Women	Underweight	2012	0.01	0.01	NA	-1.4682	0	0
50+	Women	Underweight	2013	0.01	0.01	NA	-1.4682	0	0
50+	Women	Underweight	2014	0.01	0.01	NA	-1.4682	0	0
50+	Women	Underweight	2015	0.01	0.01	NA	-1.4682	0	0
50+	Women	Underweight	2016	0.01	0.01	NA	-1.4682	0	0
50+	Women	Underweight	2017	0.01	0.01	NA	-1.4682	0	0
50+	Women	Underweight	2018	0.02	0.01	NA	-1.4682	0	0
50+	Women	Underweight	2019	0.01	0.01	NA	-1.4682	0	0
