"Year","Country","Cancer_Site","Sex","Mortalities","ASR"
2001,"England","Prostate","Men","8282",56
2002,"England","Prostate","Men","8471",56.5
2003,"England","Prostate","Men","8570",56.7
2004,"England","Prostate","Men","8531",55.3
2005,"England","Prostate","Men","8492",53.9
2006,"England","Prostate","Men","8506",52.7
2007,"England","Prostate","Men","8659",52.6
2008,"England","Prostate","Men","8597",51.1
2009,"England","Prostate","Men","8842",50.8
2010,"England","Prostate","Men","9082",51.2
2011,"England","Prostate","Men","9123",50.2
2012,"England","Prostate","Men","9133",49
2013,"England","Prostate","Men","9187",48.1
2014,"England","Prostate","Men","9530",48.2
2015,"England","Prostate","Men","10017",49.6
2016,"England","Prostate","Men","9851",47.5
2017,"England","Prostate","Men","10146",47.7
2018,"England","Prostate","Men","10068",46.1
2019,"England","Prostate","Men","10263",45.5
2020,"England","Prostate","Men","10268",44.8
1993,"Nothern Ireland","Prostate","Men","181",50.8
1994,"Nothern Ireland","Prostate","Men","211",55.3
1995,"Nothern Ireland","Prostate","Men","222",63.7
1996,"Nothern Ireland","Prostate","Men","210",55.5
1997,"Nothern Ireland","Prostate","Men","208",56.1
1998,"Nothern Ireland","Prostate","Men","221",60
1999,"Nothern Ireland","Prostate","Men","197",48.2
2000,"Nothern Ireland","Prostate","Men","209",52.6
2001,"Nothern Ireland","Prostate","Men","214",53
2002,"Nothern Ireland","Prostate","Men","193",48.8
2003,"Nothern Ireland","Prostate","Men","219",56.4
2004,"Nothern Ireland","Prostate","Men","240",55.3
2005,"Nothern Ireland","Prostate","Men","221",54.9
2006,"Nothern Ireland","Prostate","Men","217",48.8
2007,"Nothern Ireland","Prostate","Men","227",52.2
2008,"Nothern Ireland","Prostate","Men","232",51.7
2009,"Nothern Ireland","Prostate","Men","207",43.1
2010,"Nothern Ireland","Prostate","Men","247",49.6
2011,"Nothern Ireland","Prostate","Men","234",45.9
2012,"Nothern Ireland","Prostate","Men","266",49.4
2013,"Nothern Ireland","Prostate","Men","271",49.4
2014,"Nothern Ireland","Prostate","Men","243",43
2015,"Nothern Ireland","Prostate","Men","267",47.1
2016,"Nothern Ireland","Prostate","Men","293",48.8
2017,"Nothern Ireland","Prostate","Men","300",50.1
2018,"Nothern Ireland","Prostate","Men","276",44.5
2019,"Nothern Ireland","Prostate","Men","290",45.6
2020,"Nothern Ireland","Prostate","Men","277",42.1
2021,"Nothern Ireland","Prostate","Men","300",43.6
1995,"Scotland","Prostate","Men","776",57.9768745483151
1996,"Scotland","Prostate","Men","743",56.5104027817844
1997,"Scotland","Prostate","Men","708",52.9183634255555
1998,"Scotland","Prostate","Men","677",50.4721858650921
1999,"Scotland","Prostate","Men","769",55.6757340477814
2000,"Scotland","Prostate","Men","773",56.3110358584751
2001,"Scotland","Prostate","Men","777",55.6531545277288
2002,"Scotland","Prostate","Men","775",54.4016210917368
2003,"Scotland","Prostate","Men","786",54.2075176662853
2004,"Scotland","Prostate","Men","802",54.1345796740715
2005,"Scotland","Prostate","Men","765",51.0433974080321
2006,"Scotland","Prostate","Men","779",49.5545467632355
2007,"Scotland","Prostate","Men","793",51.7897689963618
2008,"Scotland","Prostate","Men","792",50.4549066515328
2009,"Scotland","Prostate","Men","790",47.6739405144034
2010,"Scotland","Prostate","Men","849",49.75658915175
2011,"Scotland","Prostate","Men","900",52.3023710725185
2012,"Scotland","Prostate","Men","881",49.6707305540882
2013,"Scotland","Prostate","Men","876",47.2335024543292
2014,"Scotland","Prostate","Men","906",46.7141429329158
2015,"Scotland","Prostate","Men","985",51.2987716459544
2016,"Scotland","Prostate","Men","894",44.675102232036
2017,"Scotland","Prostate","Men","986",49.0141272328893
2018,"Scotland","Prostate","Men","923",43.9441351098251
2019,"Scotland","Prostate","Men","1033",48.1429040120882
2020,"Scotland","Prostate","Men","1038",47.3670710423371
2002,"Wales","Prostate","Men","531",53.97
2003,"Wales","Prostate","Men","582",60.79
2004,"Wales","Prostate","Men","629",63.51
2005,"Wales","Prostate","Men","521",51.98
2006,"Wales","Prostate","Men","546",53.84
2007,"Wales","Prostate","Men","563",54.58
2008,"Wales","Prostate","Men","553",52.83
2009,"Wales","Prostate","Men","545",49.33
2010,"Wales","Prostate","Men","547",48.84
2011,"Wales","Prostate","Men","537",47.11
2012,"Wales","Prostate","Men","555",47.12
2013,"Wales","Prostate","Men","529",43.91
2014,"Wales","Prostate","Men","612",50.39
2015,"Wales","Prostate","Men","559",44.88
2016,"Wales","Prostate","Men","598",46.53
2017,"Wales","Prostate","Men","605",46.53
2018,"Wales","Prostate","Men","623",46.93
2019,"Wales","Prostate","Men","604",44.39
2020,"Wales","Prostate","Men","693",50.01
2021,"Wales","Prostate","Men","591",41.74
2022,"Wales","Prostate","Men","654",45.5
